Epoch,Train Loss,Train Accuracy,Validation Accuracy,Test Accuracy
10,1.8341500759124756,0.35714285714285715,0.386,0.391
20,1.527924656867981,0.8428571428571429,0.502,0.517
30,1.0847625732421875,0.9214285714285714,0.708,0.721
40,0.6930892467498779,0.9642857142857143,0.738,0.745
50,0.435949444770813,0.9857142857142858,0.788,0.796
60,0.2830422818660736,1.0,0.792,0.811
70,0.19663172960281372,1.0,0.788,0.815
80,0.1484847366809845,1.0,0.788,0.818
90,0.12003611028194427,1.0,0.79,0.819
100,0.10182129591703415,1.0,0.788,0.818
110,0.08919524401426315,1.0,0.792,0.821
120,0.07994204014539719,1.0,0.796,0.82
130,0.0728704184293747,1.0,0.796,0.821
140,0.06729279458522797,1.0,0.794,0.821
150,0.06278692930936813,1.0,0.796,0.819
160,0.05907844752073288,1.0,0.796,0.818
170,0.05597910284996033,1.0,0.798,0.818
180,0.05335596948862076,1.0,0.798,0.818
190,0.051112476736307144,1.0,0.798,0.816
200,0.049175843596458435,1.0,0.8,0.815
