Epoch,Train Loss,Train Accuracy,Validation Accuracy,Test Accuracy
10,1.2746561765670776,0.5928571428571429,0.46,0.464
20,0.5748668909072876,0.9428571428571428,0.698,0.696
30,0.19123809039592743,0.9857142857142858,0.726,0.734
40,0.05737016722559929,1.0,0.728,0.746
50,0.01945973001420498,1.0,0.738,0.749
60,0.009263497777283192,1.0,0.74,0.751
70,0.005639155860990286,1.0,0.742,0.746
80,0.004063370171934366,1.0,0.738,0.746
90,0.003204778768122196,1.0,0.734,0.746
100,0.0026609140913933516,1.0,0.732,0.747
110,0.0022749549243599176,1.0,0.732,0.747
120,0.001979310065507889,1.0,0.732,0.746
130,0.0017430552979931235,1.0,0.734,0.746
140,0.0015491489320993423,1.0,0.734,0.746
150,0.0013871364062651992,1.0,0.734,0.747
160,0.001249902881681919,1.0,0.734,0.747
170,0.0011325167724862695,1.0,0.734,0.747
180,0.0010311214718967676,1.0,0.734,0.747
190,0.0009430080535821617,1.0,0.736,0.747
200,0.0008658826700411737,1.0,0.736,0.746
