Epoch,Train Loss,Train Accuracy,Validation Accuracy,Test Accuracy
10,1.5953439474105835,0.8642857142857143,0.574,0.58
20,0.6543705463409424,1.0,0.772,0.787
30,0.15674525499343872,1.0,0.78,0.793
40,0.055940788239240646,1.0,0.78,0.797
50,0.037847381085157394,1.0,0.786,0.804
60,0.02870609052479267,1.0,0.784,0.804
70,0.024444950744509697,1.0,0.788,0.808
80,0.021756961941719055,1.0,0.786,0.808
90,0.02000010386109352,1.0,0.784,0.806
100,0.018646035343408585,1.0,0.784,0.806
110,0.017592191696166992,1.0,0.784,0.805
120,0.016726359724998474,1.0,0.784,0.804
130,0.016012851148843765,1.0,0.784,0.803
140,0.015410065650939941,1.0,0.784,0.803
150,0.014894033782184124,1.0,0.784,0.802
160,0.014446544460952282,1.0,0.784,0.801
170,0.014055079780519009,1.0,0.784,0.8
180,0.01370837539434433,1.0,0.78,0.8
190,0.013398583978414536,1.0,0.782,0.798
