Epoch,Train Loss,Train Accuracy,Validation Accuracy,Test Accuracy
10,1.1413512229919434,0.9,0.718,0.719
20,0.5968645811080933,0.9714285714285714,0.758,0.739
30,0.3125649392604828,1.0,0.75,0.755
40,0.1701410859823227,1.0,0.742,0.762
50,0.10377798229455948,1.0,0.748,0.751
60,0.07031016051769257,1.0,0.746,0.745
70,0.052035581320524216,1.0,0.73,0.742
80,0.04096938297152519,1.0,0.728,0.733
90,0.033626992255449295,1.0,0.72,0.735
100,0.02838967740535736,1.0,0.718,0.73
110,0.024455465376377106,1.0,0.718,0.731
120,0.02138543874025345,1.0,0.718,0.732
130,0.01892281323671341,1.0,0.716,0.729
140,0.016907230019569397,1.0,0.714,0.728
150,0.015231095254421234,1.0,0.71,0.726
160,0.013818224892020226,1.0,0.71,0.723
170,0.012613092549145222,1.0,0.71,0.721
180,0.011574603617191315,1.0,0.71,0.721
190,0.010671730153262615,1.0,0.708,0.719
200,0.009880607016384602,1.0,0.71,0.72
