Epoch,Train Loss,Train Accuracy,Validation Accuracy,Test Accuracy
10,0.8591136336326599,0.9714285714285714,0.706,0.733
20,0.23176926374435425,1.0,0.73,0.757
30,0.06716765463352203,1.0,0.71,0.735
40,0.028337592259049416,1.0,0.708,0.736
50,0.016431594267487526,1.0,0.724,0.737
60,0.011563291773200035,1.0,0.718,0.736
70,0.009049616754055023,1.0,0.714,0.734
80,0.007501391228288412,1.0,0.716,0.737
90,0.006420227698981762,1.0,0.712,0.738
100,0.00560198025777936,1.0,0.716,0.738
110,0.0049516428261995316,1.0,0.716,0.736
120,0.0044188061729073524,1.0,0.718,0.735
130,0.003973513841629028,1.0,0.716,0.735
140,0.0035961635876446962,1.0,0.712,0.735
150,0.0032728968653827906,1.0,0.712,0.732
160,0.0029935070779174566,1.0,0.712,0.735
170,0.0027501669246703386,1.0,0.708,0.733
180,0.002536800457164645,1.0,0.708,0.734
190,0.0023485186975449324,1.0,0.706,0.733
